Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-29,2016,8,29,Monday,35,2016-35,217.44,218.67,217.4,218.36,70502200,189.82,0.0049244374592969375,189.77571428571426,186.4772
2016-08-30,2016,8,30,Tuesday,35,2016-35,218.26,218.59,217.35,218.0,58114500,189.51,-0.0016490031585395526,189.79785714285714,186.6536
2016-08-31,2016,8,31,Wednesday,35,2016-35,217.61,217.75,216.47,217.38,85269500,188.97,-0.0028439428911855025,189.71857142857144,186.80899999999997
2016-09-01,2016,9,1,Thursday,35,2016-35,217.37,217.73,216.03,217.39,97844200,188.98,4.602561543509687e-05,189.65214285714282,186.9706
2016-09-02,2016,9,2,Friday,35,2016-35,218.39,218.87,217.7,218.37,79293900,189.83,0.004508122662793657,189.60714285714286,187.10199999999998
2016-09-06,2016,9,6,Tuesday,36,2016-36,218.7,219.12,217.86,219.03,56702100,190.41,0.003022471766511048,189.67357142857145,187.3766
2016-09-07,2016,9,7,Wednesday,36,2016-36,218.84,219.22,218.3,219.01,76554900,190.39,-9.167832479983762e-05,189.7135714285714,187.7142
2016-09-08,2016,9,8,Thursday,36,2016-36,218.62,218.94,218.15,218.51,74102900,189.95,-0.00228279121015984,189.69142857142856,187.98039999999997
2016-09-09,2016,9,9,Friday,36,2016-36,216.97,217.03,213.25,213.28,221589100,185.41,-0.023934864010032753,189.365,188.0956
2016-09-12,2016,9,12,Monday,37,2016-37,212.39,216.81,212.31,216.34,168110900,188.07,0.01434733737443028,189.2292857142857,188.215
2016-09-13,2016,9,13,Tuesday,37,2016-37,214.84,215.15,212.5,213.23,182828800,185.36,-0.014375556078064067,188.87285714285713,188.27239999999998
2016-09-14,2016,9,14,Wednesday,37,2016-37,213.29,214.7,212.5,213.15,134185500,185.29,-0.00037537114204277966,188.5807142857143,188.35479999999998
2016-09-15,2016,9,15,Thursday,37,2016-37,212.96,215.73,212.75,215.28,134427900,187.15,0.009993151021660651,188.4307142857143,188.4526
2016-09-16,2016,9,16,Friday,37,2016-37,213.48,213.69,212.57,213.37,155236400,186.42,-0.0038656255055130595,188.25428571428571,188.53799999999998
2016-09-19,2016,9,19,Monday,38,2016-38,214.13,214.88,213.03,213.41,80250500,186.46,0.000187520099478089,188.01428571428573,188.57
2016-09-20,2016,9,20,Tuesday,38,2016-38,214.41,214.59,213.38,213.42,69665300,186.47,4.672802358962613e-05,187.79714285714286,188.5892
2016-09-21,2016,9,21,Wednesday,38,2016-38,214.24,216.03,213.44,215.82,110284400,188.56,0.011245543144521308,187.76785714285714,188.6232
2016-09-22,2016,9,22,Thursday,38,2016-38,217.0,217.53,216.71,217.18,76678700,189.75,0.006301525808888098,187.82285714285715,188.6816
2016-09-23,2016,9,23,Friday,38,2016-38,216.72,216.88,215.88,215.99,73630900,188.71,-0.005479226672898241,187.74285714285716,188.69819999999999
2016-09-26,2016,9,26,Monday,39,2016-39,215.02,215.23,214.01,214.24,89827300,187.18,-0.008102283936197607,187.51214285714286,188.68939999999998
