Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-23,2016,6,23,Thursday,25,2016-25,55.98,56.2,55.9,56.13,5569400,47.42,0.009350872786831887,46.84357142857143,47.5502
2016-06-24,2016,6,24,Friday,25,2016-25,54.05,55.57,54.01,54.68,14654700,46.19,-0.025833113443728628,46.78857142857142,47.4616
2016-06-27,2016,6,27,Monday,26,2016-26,54.2,54.48,53.41,53.69,11631900,45.36,-0.018104917501021056,46.69142857142857,47.35
2016-06-28,2016,6,28,Tuesday,26,2016-26,54.1,54.9,53.95,54.85,8417000,46.34,0.021605243276288988,46.669285714285714,47.251599999999996
2016-06-29,2016,6,29,Wednesday,26,2016-26,55.42,56.95,55.36,56.74,11103800,47.93,0.0344574451725248,46.73928571428571,47.184799999999996
2016-06-30,2016,6,30,Thursday,26,2016-26,56.81,57.19,56.52,57.12,10215200,48.25,0.006697349988265655,46.875,47.124399999999994
2016-07-01,2016,7,1,Friday,26,2016-26,57.04,57.36,56.85,56.99,8330300,48.15,-0.002275939164833929,46.99285714285714,47.0664
2016-07-05,2016,7,5,Tuesday,27,2016-27,56.81,56.96,56.55,56.77,7274200,47.96,-0.0038602534376817044,47.065,47.05440000000001
2016-07-06,2016,7,6,Wednesday,27,2016-27,56.52,57.11,56.32,56.75,8474200,47.94,-0.00035204621493445387,47.14928571428572,47.040600000000005
2016-07-07,2016,7,7,Thursday,27,2016-27,56.66,57.0,56.47,56.91,6813300,48.08,0.0028191916365227776,47.23285714285714,47.0304
2016-07-08,2016,7,8,Friday,27,2016-27,56.92,57.0,56.36,56.51,12655500,47.74,-0.007028919122084587,47.305,47.02719999999999
2016-07-11,2016,7,11,Monday,28,2016-28,56.8,56.92,56.06,56.32,10394400,47.58,-0.0033618250510142333,47.36214285714285,47.028800000000004
2016-07-12,2016,7,12,Tuesday,28,2016-28,56.65,57.6,56.51,57.48,10998500,48.56,0.020596254545679038,47.462857142857146,47.053200000000004
2016-07-13,2016,7,13,Wednesday,28,2016-28,56.8,57.26,56.35,56.48,12183600,47.71,-0.017397220790502543,47.51499999999999,47.04160000000001
2016-07-14,2016,7,14,Thursday,28,2016-28,57.0,57.68,56.97,57.59,11353600,48.65,0.019653037778252225,47.60285714285714,47.0642
2016-07-15,2016,7,15,Friday,28,2016-28,57.69,57.74,57.13,57.41,8494000,48.5,-0.0031255758083270635,47.767857142857146,47.081399999999995
2016-07-18,2016,7,18,Monday,29,2016-29,57.59,57.59,56.85,56.92,7614600,48.09,-0.008535350981091816,47.962857142857146,47.0928
2016-07-19,2016,7,19,Tuesday,29,2016-29,56.85,57.14,56.55,56.76,8719800,47.95,-0.002810773040727188,48.07785714285715,47.1004
2016-07-20,2016,7,20,Wednesday,29,2016-29,57.0,57.66,56.71,57.54,9446400,48.61,0.013742086514254126,48.126428571428576,47.11559999999999
2016-07-21,2016,7,21,Thursday,29,2016-29,57.62,57.67,57.04,57.6,16151700,48.66,0.0010425547543322367,48.15571428571428,47.117399999999996
2016-07-22,2016,7,22,Friday,29,2016-29,57.6,58.24,57.2,57.9,23899300,48.91,0.005208520744830913,48.209999999999994,47.1456
2016-07-25,2016,7,25,Monday,30,2016-30,57.72,58.09,57.5,57.95,10486000,48.96,0.000863718751026088,48.28142857142858,47.17360000000001
2016-07-26,2016,7,26,Tuesday,30,2016-30,58.58,58.84,58.2,58.31,10106700,49.26,0.006212083715664951,48.37571428571429,47.215599999999995
2016-07-27,2016,7,27,Wednesday,30,2016-30,58.38,58.4,57.67,57.85,6551800,48.87,-0.007888945772713152,48.432142857142864,47.254799999999996
2016-07-28,2016,7,28,Thursday,30,2016-30,57.88,58.31,57.74,58.21,6830100,49.18,0.006223369881809049,48.535000000000004,47.3112
2016-07-29,2016,7,29,Friday,30,2016-30,58.18,58.43,57.92,58.05,6914900,49.04,-0.0027490247741913665,48.63928571428572,47.3662
2016-08-01,2016,8,1,Monday,31,2016-31,58.0,58.05,57.43,57.63,7997600,48.69,-0.007234857062003441,48.64857142857142,47.4184
2016-08-02,2016,8,2,Tuesday,31,2016-31,57.25,57.34,56.54,56.73,7574600,48.09,-0.0121889071800807,48.675714285714285,47.4574
2016-08-03,2016,8,3,Wednesday,31,2016-31,56.46,56.59,55.72,55.94,11484800,47.42,-0.013925795981584055,48.587857142857146,47.4832
2016-08-04,2016,8,4,Thursday,31,2016-31,56.05,56.29,55.38,55.42,11193700,46.98,-0.009295467183759842,48.479285714285716,47.486
2016-08-05,2016,8,5,Friday,31,2016-31,55.8,56.12,55.52,55.9,9206200,47.39,0.008661101108754066,48.42928571428571,47.50200000000001
2016-08-08,2016,8,8,Monday,32,2016-32,55.97,55.99,55.17,55.36,9129300,46.93,-0.009660011514445843,48.35642857142857,47.506400000000006
2016-08-09,2016,8,9,Tuesday,32,2016-32,55.39,55.71,55.18,55.2,7136700,46.8,-0.0028903521866381343,48.22714285714285,47.5106
2016-08-10,2016,8,10,Wednesday,32,2016-32,55.37,55.71,55.11,55.62,6991100,47.15,0.007608566462440125,48.11928571428571,47.526199999999996
2016-08-11,2016,8,11,Thursday,32,2016-32,55.75,55.96,55.46,55.47,6191400,47.02,-0.0026962656393236806,47.98428571428571,47.5404
2016-08-12,2016,8,12,Friday,32,2016-32,55.27,55.75,55.23,55.47,5039800,47.02,0.0,47.84571428571429,47.55799999999999
2016-08-15,2016,8,15,Monday,33,2016-33,55.65,55.7,55.18,55.25,5968700,46.84,-0.003966706854538926,47.67285714285714,47.5722
2016-08-16,2016,8,16,Tuesday,33,2016-33,55.25,55.57,54.92,55.37,5750900,46.94,0.0021720603436790054,47.535000000000004,47.5718
2016-08-17,2016,8,17,Wednesday,33,2016-33,55.77,55.92,55.43,55.8,7410600,47.3,0.0077661102231612045,47.40071428571429,47.583400000000005
2016-08-18,2016,8,18,Thursday,33,2016-33,55.78,55.9,55.49,55.53,5390800,47.08,-0.004838862897863061,47.260714285714286,47.592
2016-08-19,2016,8,19,Friday,33,2016-33,55.46,55.56,54.85,54.94,8981200,46.57,-0.010624994428881318,47.10928571428571,47.584399999999995
2016-08-22,2016,8,22,Monday,34,2016-34,54.98,55.92,54.95,55.85,8837800,47.35,0.016563585518693857,47.05642857142857,47.604400000000005
2016-08-23,2016,8,23,Tuesday,34,2016-34,56.17,56.54,56.0,56.4,7827900,47.81,0.009847848893566269,47.08428571428572,47.6306
2016-08-24,2016,8,24,Wednesday,34,2016-34,57.0,57.98,56.95,57.09,13200500,48.4,0.012234307794063648,47.18571428571429,47.65959999999999
2016-08-25,2016,8,25,Thursday,34,2016-34,57.04,57.45,56.9,57.29,6686600,48.57,0.00350292485791881,47.269999999999996,47.6958
2016-08-26,2016,8,26,Friday,34,2016-34,57.48,57.83,57.0,57.29,6940500,48.57,0.0,47.387142857142855,47.729000000000006
